Country Code,Year,Expense (% of GDP),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"Services, value added (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),Merchandise trade (% of GDP),"Government expenditure on education, total (% of GDP)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Forest rents (% of GDP),Current account balance (% of GDP),Current health expenditure (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)",Access to electricity (% of population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (annual % growth)",Total greenhouse gas emissions (% change from 1990)
AUT,1998,47.25099659,38.35102119,-0.2251070187,2.094684079,1.268232976,3.581425815,58.86279371,26.88984546,76.92714939,61.2063862,6.103740215,26.1056608,26.14287051,0.07236180691,39.4429102,60.12848892,1.793343924,100,35.84281908,5.147575223,7.379610014
AUT,1999,47.10873523,39.35703789,0.4539354266,1.369564751,1.519856296,3.556331247,58.73121872,26.6278222,78.26014034,63.25552039,6.112339973,26.11755139,26.52446709,0.06300730984,42.71596851,47.53317922,1.722217322,100,35.78590458,4.873501533,5.064789795
AUT,2000,46.26378844,43.34627395,1.332052286,4.319625509,2.799540538,3.375722147,59.30901534,26.22507988,85.36049562,71.1911369,5.588809967,25.92697094,26.91357491,0.06528568738,77.89526432,9.20371437,1.647300213,100,35.60426253,-3.598387302,3.56951485
AUT,2001,46.61558223,44.61755552,1.698446272,2.883092982,1.531331394,1.267168189,59.48752858,27.96557199,87.53666476,73.67262717,5.575479984,25.16076629,26.91267587,0.06554914185,80.73057339,9.26942921,1.670703396,100,35.31242432,-0.6821987769,7.533673664
AUT,2002,45.97290619,45.3193862,3.690604397,0.06483638374,2.709014075,1.651553922,60.29569645,26.97550032,86.948168,73.56530106,5.522130013,23.64265684,27.62139468,0.07994564903,72.37263239,9.3947649,1.562774411,100,35.14410269,-1.616131234,9.456437906
AUT,2003,46.03612849,44.57041472,2.753447022,2.367260905,2.621281068,0.9414709207,60.39357126,26.64696993,86.38738242,75.15520537,5.361830235,24.40874646,26.93698238,0.08040651085,41.41879105,9.5472393,1.491931898,100,34.93860499,-2.457551385,16.06134019
AUT,2004,48.60700877,46.86721497,2.942084255,1.058027579,2.668589841,2.735120222,60.31826678,26.30867249,90.79234569,79.18832072,5.302430153,24.06102689,27.24668624,0.05843194334,6.753130767,9.70939827,1.476474393,100,34.72269315,8.580357789,20.65954397
AUT,2005,45.91237872,48.6197522,3.205698726,25.66539715,25.72658528,2.244065325,60.57242618,25.51395546,94.03380568,79.91438076,5.249370098,23.82524564,26.84399959,0.05730634081,1.972610806,9.62702942,1.259399635,100,34.59433277,-2.310380336,22.19009664
AUT,2006,45.18809616,50.84166886,3.595026518,3.125149478,4.788070596,3.454041836,60.70337865,25.05044256,98.08831121,81.53695725,5.226520061,23.61032759,27.52645996,0.07089859946,3.272003141,9.5311327,1.303189459,100,34.43085493,-1.495327634,19.79004936
AUT,2007,43.97791491,52.56086942,4.388484783,17.71734068,20.33487162,3.727415301,60.31531249,25.39199432,100.7332541,84.04018248,5.146900177,24.5843049,29.23946882,0.08435230542,3.794540437,9.53209686,1.41639156,100,34.27183996,9.423132391,16.83406116
